filename,application_id,serial_number,brand_name,product_type,overall_status,confidence,processing_time_seconds,short_summary,warnings,errors
sample_batch.zip/APP-001_old_tom_pass.pdf,APP-001,APP-001,OLD TOM GIN,DISTILLED SPIRITS,Pass,0.95,0.105,All required checks passed with adequate confidence.,,
sample_batch.zip/APP-002_stones_throw_variation.pdf,APP-002,APP-002,STONE'S THROW,DISTILLED SPIRITS,Pass,0.95,0.095,All required checks passed with adequate confidence.,,
sample_batch.zip/APP-003_wrong_abv.pdf,APP-003,APP-003,OLD TOM GIN,DISTILLED SPIRITS,Fail,0.95,0.091,"Failed critical checks: formula, alcohol_content",,
sample_batch.zip/APP-004_bad_warning.pdf,APP-004,APP-004,OLD TOM GIN,DISTILLED SPIRITS,Fail,0.95,0.087,Failed critical checks: government_warning,,
sample_batch.zip/APP-005_low_quality_rotated.pdf,APP-005,APP-005,OLD TOM GIN,DISTILLED SPIRITS,Needs Review,0.0,0.115,"Needs review: brand_name, fanciful_name, product_type, class_type","Local Tesseract OCR is not installed or is not on PATH.; Label artwork was present, but text could not be read with adequate confidence.; Label text is unreadable or low confidence.",
sample_batch.zip/APP-006_missing_label_area.pdf,APP-006,APP-006,OLD TOM GIN,DISTILLED SPIRITS,Needs Review,0.0,0.096,"Needs review: brand_name, fanciful_name, product_type, class_type",No readable affixed label area was found in the completed application file.; Label area is missing or blank.,
sample_batch.zip/APP-007_artwork_vodka_pass.pdf,APP-007,APP-007,COPPER RIDGE VODKA,DISTILLED SPIRITS,Needs Review,0.0,0.117,"Needs review: brand_name, product_type, class_type, formula","Local Tesseract OCR is not installed or is not on PATH.; Label artwork was present, but text could not be read with adequate confidence.; Label text is unreadable or low confidence.",
sample_batch.zip/APP-008_artwork_brand_mismatch_fail.pdf,APP-008,APP-008,COPPER RIDGE VODKA,DISTILLED SPIRITS,Needs Review,0.0,0.113,"Needs review: brand_name, product_type, class_type, formula","Local Tesseract OCR is not installed or is not on PATH.; Label artwork was present, but text could not be read with adequate confidence.; Label text is unreadable or low confidence.",
sample_batch.zip/APP-009_artwork_wrong_net_contents_fail.pdf,APP-009,APP-009,COPPER RIDGE VODKA,DISTILLED SPIRITS,Needs Review,0.0,0.114,"Needs review: brand_name, product_type, class_type, formula","Local Tesseract OCR is not installed or is not on PATH.; Label artwork was present, but text could not be read with adequate confidence.; Label text is unreadable or low confidence.",
sample_batch.zip/APP-010_artwork_title_case_warning_fail.pdf,APP-010,APP-010,COPPER RIDGE VODKA,DISTILLED SPIRITS,Needs Review,0.0,0.113,"Needs review: brand_name, product_type, class_type, formula","Local Tesseract OCR is not installed or is not on PATH.; Label artwork was present, but text could not be read with adequate confidence.; Label text is unreadable or low confidence.",
sample_batch.zip/APP-011_artwork_missing_warning_fail.pdf,APP-011,APP-011,COPPER RIDGE VODKA,DISTILLED SPIRITS,Needs Review,0.0,0.117,"Needs review: brand_name, product_type, class_type, formula","Local Tesseract OCR is not installed or is not on PATH.; Label artwork was present, but text could not be read with adequate confidence.; Label text is unreadable or low confidence.",
sample_batch.zip/APP-012_artwork_low_contrast_review.pdf,APP-012,APP-012,COPPER RIDGE VODKA,DISTILLED SPIRITS,Needs Review,0.0,0.132,"Needs review: brand_name, product_type, class_type, formula","Local Tesseract OCR is not installed or is not on PATH.; Label artwork was present, but text could not be read with adequate confidence.; Label text is unreadable or low confidence.",
sample_batch.zip/APP-013_missing_formula_support_review.pdf,APP-013,APP-013,OLD TOM GIN,DISTILLED SPIRITS,Needs Review,0.0,0.088,"Needs review: formula, alcohol_content",,
sample_batch.zip/APP-014_formula_range_pass.pdf,APP-014,APP-014,OLD TOM GIN,DISTILLED SPIRITS,Pass,0.95,0.094,All required checks passed with adequate confidence.,,
sample_batch.zip/APP-015_formula_range_fail.pdf,APP-015,APP-015,OLD TOM GIN,DISTILLED SPIRITS,Fail,0.95,0.092,"Failed critical checks: formula, alcohol_content",,
sample_batch.zip/APP-016_bourbon_proof_artwork_pass.pdf,APP-016,APP-016,RIVER BEND BOURBON,DISTILLED SPIRITS,Needs Review,0.0,0.112,"Needs review: brand_name, fanciful_name, product_type, class_type","Local Tesseract OCR is not installed or is not on PATH.; Label artwork was present, but text could not be read with adequate confidence.; Label text is unreadable or low confidence.",
sample_batch.zip/APP-017_wine_artwork_pass.pdf,APP-017,APP-017,SUNSET HOLLOW,WINE,Needs Review,0.0,0.104,"Needs review: brand_name, fanciful_name, product_type, class_type","Local Tesseract OCR is not installed or is not on PATH.; Label artwork was present, but text could not be read with adequate confidence.; Label text is unreadable or low confidence.",
sample_batch.zip/APP-018_malt_artwork_pass.pdf,APP-018,APP-018,HARBOR LIGHT LAGER,MALT BEVERAGES,Needs Review,0.0,0.116,"Needs review: brand_name, product_type, class_type, formula","Local Tesseract OCR is not installed or is not on PATH.; Label artwork was present, but text could not be read with adequate confidence.; Label text is unreadable or low confidence.",
sample_batch.zip/APP-019_import_country_missing_review.pdf,APP-019,APP-019,OLD TOM GIN,DISTILLED SPIRITS,Needs Review,0.0,0.088,Needs review: country_of_origin,,
sample_batch.zip/APP-020_item15_missing_review.pdf,APP-020,APP-020,OLD TOM GIN,DISTILLED SPIRITS,Needs Review,0.129,0.108,Needs review: item_15,,
sample_batch.zip/APP-021_apostrophe_artwork_pass.pdf,APP-021,APP-021,DISTILLER'S CUT,DISTILLED SPIRITS,Needs Review,0.0,0.115,"Needs review: brand_name, product_type, class_type, formula","Local Tesseract OCR is not installed or is not on PATH.; Label artwork was present, but text could not be read with adequate confidence.; Label text is unreadable or low confidence.",
sample_batch.zip/APP-022_artwork_wrong_bottler_review.pdf,APP-022,APP-022,COPPER RIDGE VODKA,DISTILLED SPIRITS,Needs Review,0.0,0.112,"Needs review: brand_name, product_type, class_type, formula","Local Tesseract OCR is not installed or is not on PATH.; Label artwork was present, but text could not be read with adequate confidence.; Label text is unreadable or low confidence.",
